,Open,High,Low,Close,Volume
2018-01-27 02:30:00,7448.32605933,7505.772244798,7431.223491034,7505.772244798,0
2018-01-30 02:30:00,7484.47348695,7500.606097306,7455.545806445,7466.50528135,0
2018-01-31 02:30:00,7388.89155338,7433.646243032,7373.992239531,7402.48194924,0
2018-02-01 02:30:00,7443.250277698,7453.985795074,7381.12470947,7411.482057205,0
2018-02-02 02:30:00,7377.172885899,7441.094074759,7362.281572917,7385.863338119,0
2018-02-03 02:30:00,7347.587032726,7364.427081258,7238.183946981,7240.946163918,0
2018-02-06 02:30:00,7165.958838548,7277.355907749,6967.525827077,6967.525827077,0
2018-02-07 02:30:00,6837.561368113,7126.545912052,6824.820362525,7115.882475208,0
2018-02-08 02:30:00,7086.199094944,7170.33496328,7051.529844811,7051.983572259,0
2018-02-09 02:30:00,7067.298549666,7073.988777596,6776.770637651,6777.158954711,0
2018-02-10 02:30:00,6863.335398741,6917.009796798,6630.672297493,6874.491432232,0
2018-02-13 02:30:00,6936.677591495,7023.621950587,6879.692441212,6981.964412097,0
2018-02-14 02:30:00,6942.161810828,7025.684224942,6938.164662847,7013.510444229,0
2018-02-15 02:30:00,6979.239615426,7152.048320878,6977.072305625,7143.615163939,0
2018-02-16 02:30:00,7200.750317386,7256.926792957,7130.390887516,7256.430030403,0
2018-02-17 02:30:00,7236.514525814,7303.260618718,7226.37935575,7239.465456853,0
2018-02-21 02:30:00,7209.034007207,7295.945719663,7206.001184489,7234.308096563,0
2018-02-22 02:30:00,7258.478419579,7338.635099138,7218.107268133,7218.227870252,0
2018-02-23 02:30:00,7252.464619434,7280.925063658,7194.838866541,7210.085640158,0
2018-02-24 02:30:00,7261.346290586,7337.831475016,7232.495451559,7337.390496805,0
2018-02-27 02:30:00,7373.297382774,7421.848361467,7360.253503753,7421.463559855,0
2018-02-28 02:30:00,7416.170185569,7438.088304844,7330.354451995,7330.354451995,0
2018-03-01 02:30:00,7371.406354591,7386.800458996,7273.008836311,7273.008836311,0
2018-03-02 02:30:00,7274.750181713,7307.844942614,7117.659353279,7180.561431378,0
2018-03-03 02:30:00,7099.541999132,7267.187914141,7084.826293075,7257.866458916,0
2018-03-06 02:30:00,7222.887612431,7350.067240878,7205.31401905,7330.704528779,0
2018-03-07 02:30:00,7366.606287455,7378.031580293,7319.680665011,7372.006688607,0
2018-03-08 02:30:00,7311.735237174,7403.793915046,7311.735237174,7396.649143946,0
2018-03-09 02:30:00,7422.770783048,7435.006379292,7391.498286004,7427.946211419,0
2018-03-10 02:30:00,7475.97511233,7560.810334332,7469.033616027,7560.810334332,0
2018-03-13 01:30:00,7581.040841625,7609.096356667,7563.443263342,7588.324579665,0
2018-03-14 01:30:00,7627.520206902,7637.26920582,7492.976538616,7511.01192035,0
2018-03-15 01:30:00,7539.778879215,7544.886699401,7473.90291594,7496.810781776,0
2018-03-16 01:30:00,7509.242481018,7525.439537217,7463.184930889,7481.741471063,0
2018-03-17 01:30:00,7504.370840601,7514.209843449,7473.682167233,7481.988399601,0
2018-03-20 01:30:00,7419.198299691,7421.230453985,7285.271991112,7344.243706638,0
2018-03-21 01:30:00,7353.250394787,7380.741922151,7331.236088347,7364.301792328,0
2018-03-22 01:30:00,7347.503607188,7415.657146571,7325.353273426,7345.285374429,0
2018-03-23 01:30:00,7257.545894462,7303.189030376,7164.38371558,7166.676582415,0
2018-03-24 01:30:00,7170.678563107,7194.3133035,6992.665948057,6992.665948057,0
2018-03-27 01:30:00,7125.198096391,7225.834940931,7022.336328714,7220.543310574,0
2018-03-28 01:30:00,7255.471901956,7255.543828378,6963.677457046,7008.806136116,0
2018-03-29 01:30:00,6978.295683837,7036.091944503,6901.066190653,6949.226443076,0
2018-03-30 01:30:00,6984.654981577,7120.464319843,6935.778289929,7063.444970446,0
2018-04-03 01:30:00,7016.173341507,7044.708848228,6805.959796029,6870.119149157,0
2018-04-04 01:30:00,6924.351751246,6963.709895134,6835.234930838,6941.281879363,0
2018-04-05 01:30:00,6811.765259978,7059.294479548,6811.765259978,7042.107407129,0
2018-04-06 01:30:00,7099.253699717,7112.376495183,7036.617291398,7076.551601834,0
2018-04-07 01:30:00,6999.570906779,7066.639255431,6877.762599774,6915.110818234,0
2018-04-10 01:30:00,6971.445273458,7074.95109317,6944.958868273,6950.343707002,0
2018-04-11 01:30:00,7060.986631024,7117.980597204,7014.877798065,7094.300527571,0
2018-04-12 01:30:00,7055.001368887,7128.539401451,7055.001368887,7069.026297515,0
2018-04-13 01:30:00,7112.020726398,7166.003762997,7105.089286424,7140.247748317,0
2018-04-14 01:30:00,7179.61758058,7183.623709101,7078.138629206,7106.649788885,0
2018-04-17 01:30:00,7153.871661151,7178.507511808,7115.846837821,7156.284682707,0
2018-04-18 01:30:00,7215.115459301,7298.591503037,7206.54545055,7281.099198605,0
2018-04-19 01:30:00,7292.383771238,7319.576240591,7259.89639938,7295.236165237,0
2018-04-20 01:30:00,7258.614916596,7277.449421563,7215.174725836,7238.05632231,0
2018-04-21 01:30:00,7220.64300589,7222.987777135,7123.48610841,7146.125755451,0
2018-04-24 01:30:00,7173.991053046,7195.720272316,7094.428247278,7128.601398382,0
2018-04-25 01:30:00,7160.768424752,7171.670631985,6961.520998678,7007.352429385,0
2018-04-26 01:30:00,7009.988682069,7030.73607225,6926.974779784,7003.737492532,0
