,Open,High,Low,Close,Volume
2018-01-27 02:30:00,26466.74,26616.71,26425.35,26616.71,477775204
2018-01-30 02:30:00,26584.28,26608.9,26435.34,26439.48,421001036
2018-01-31 02:30:00,26198.45,26256.99,26028.42,26076.89,448330852
2018-02-01 02:30:00,26268.17,26338.03,26050.98,26149.39,479131019
2018-02-02 02:30:00,26083.04,26306.7,26014.44,26186.71,410622631
2018-02-03 02:30:00,26061.79,26061.79,25490.66,25520.96,522877741
2018-02-06 02:30:00,25337.87,25520.53,23923.88,24345.75,714449396
2018-02-07 02:30:00,24085.17,24946.23,23778.74,24912.77,823936440
2018-02-08 02:30:00,24892.87,25293.96,24785.44,24893.35,504623230
2018-02-09 02:30:00,24902.3,24903.68,23849.23,23860.46,657504273
2018-02-10 02:30:00,23992.67,24382.14,23360.29,24190.9,735033934
2018-02-13 02:30:00,24337.76,24765.16,24290.48,24601.27,496609143
2018-02-14 02:30:00,24540.33,24705.72,24421.03,24640.45,374408378
2018-02-15 02:30:00,24535.82,24925.95,24490.36,24893.49,431155979
2018-02-16 02:30:00,25047.82,25203.95,24809.42,25200.37,416784418
2018-02-17 02:30:00,25165.94,25432.42,25149.26,25219.38,406729453
2018-02-21 02:30:00,25124.91,25179.01,24884.19,24964.75,421506882
2018-02-22 02:30:00,24988.06,25267.99,24792.99,24797.78,456065206
2018-02-23 02:30:00,24855.41,25156.72,24854.83,24962.48,378904006
2018-02-24 02:30:00,25050.51,25313.91,25028.73,25309.99,335420530
2018-02-27 02:30:00,25403.35,25732.8,25398.56,25709.27,473357477
2018-02-28 02:30:00,25735.78,25800.35,25407.83,25410.03,438394103
2018-03-01 02:30:00,25485.15,25576.15,25022.42,25029.2,451872251
2018-03-02 02:30:00,25024.04,25185.35,24442.56,24608.98,506279358
2018-03-03 02:30:00,24394.91,24592.46,24217.76,24538.06,437130059
2018-03-06 02:30:00,24471.31,24961.0,24387.15,24874.76,383913608
2018-03-07 02:30:00,24965.89,24995.24,24708.41,24884.12,331766021
2018-03-08 02:30:00,24758.15,24849.68,24535.12,24801.36,394070603
2018-03-09 02:30:00,24853.41,24950.49,24703.05,24895.21,327297318
2018-03-10 02:30:00,25004.89,25336.33,25004.89,25335.74,371572275
2018-03-13 01:30:00,25372.44,25449.15,25152.02,25178.61,362330023
2018-03-14 01:30:00,25257.75,25376.4,24947.5,25007.03,447875720
2018-03-15 01:30:00,25086.97,25130.12,24668.83,24758.12,356832403
2018-03-16 01:30:00,24837.29,25053.87,24753.29,24873.66,316306467
2018-03-17 01:30:00,24877.34,25031.0,24857.09,24946.51,641882326
2018-03-20 01:30:00,24893.69,24893.69,24453.14,24610.91,377993116
2018-03-21 01:30:00,24650.64,24803.61,24650.64,24727.27,342512596
2018-03-22 01:30:00,24723.49,24977.65,24655.4,24682.31,343232266
2018-03-23 01:30:00,24526.01,24526.01,23938.74,23957.89,439276831
2018-03-24 01:30:00,23995.18,24108.47,23509.06,23533.2,482550591
2018-03-27 01:30:00,23825.74,24232.3,23741.22,24202.6,479539901
2018-03-28 01:30:00,24276.62,24446.22,23708.73,23857.71,524484313
2018-03-29 01:30:00,23883.08,24092.47,23728.67,23848.42,530035339
2018-03-30 01:30:00,23949.18,24314.3,23928.13,24103.11,463547667
2018-04-03 01:30:00,24076.6,24123.8,23344.52,23644.19,509823310
2018-04-04 01:30:00,23698.33,24044.35,23664.33,24033.36,394132226
2018-04-05 01:30:00,23654.15,24308.96,23523.16,24264.3,388535142
2018-04-06 01:30:00,24313.91,24622.26,24313.91,24505.22,347788143
2018-04-07 01:30:00,24373.6,24434.4,23738.2,23932.76,395985226
2018-04-10 01:30:00,24037.52,24373.18,23954.83,23979.1,380794022
2018-04-11 01:30:00,24198.95,24511.35,24198.95,24408.0,368588468
2018-04-12 01:30:00,24274.19,24366.57,24150.87,24189.45,286362392
2018-04-13 01:30:00,24302.82,24592.12,24302.82,24483.05,336126213
2018-04-14 01:30:00,24582.82,24646.45,24243.74,24360.14,331885760
2018-04-17 01:30:00,24483.15,24675.36,24480.2,24573.04,305067042
2018-04-18 01:30:00,24681.79,24858.97,24681.79,24786.63,342409606
2018-04-19 01:30:00,24820.85,24832.54,24721.09,24748.07,302026350
2018-04-20 01:30:00,24711.3,24762.48,24557.03,24664.89,381114870
2018-04-21 01:30:00,24657.39,24678.07,24375.04,24462.94,537769284
2018-04-24 01:30:00,24488.07,24536.89,24328.54,24448.69,351034918
2018-04-25 01:30:00,24579.94,24579.94,23828.73,24024.13,468175686
2018-04-26 01:30:00,24070.2,24146.34,23823.08,24083.83,437103293
