,Open,High,Low,Close,Volume
2018-03-27 01:30:00,23825.74,24232.3,23741.22,24202.6,479539901
2018-03-28 01:30:00,24276.62,24446.22,23708.73,23857.71,524484313
2018-03-29 01:30:00,23883.08,24092.47,23728.67,23848.42,530035339
2018-03-30 01:30:00,23949.18,24314.3,23928.13,24103.11,463547667
2018-04-03 01:30:00,24076.6,24123.8,23344.52,23644.19,509823310
2018-04-04 01:30:00,23698.33,24044.35,23664.33,24033.36,394132226
2018-04-05 01:30:00,23654.15,24308.96,23523.16,24264.3,388535142
2018-04-06 01:30:00,24313.91,24622.26,24313.91,24505.22,347788143
2018-04-07 01:30:00,24373.6,24434.4,23738.2,23932.76,395985226
2018-04-10 01:30:00,24037.52,24373.18,23954.83,23979.1,380794022
2018-04-11 01:30:00,24198.95,24511.35,24198.95,24408.0,368588468
2018-04-12 01:30:00,24274.19,24366.57,24150.87,24189.45,286362392
2018-04-13 01:30:00,24302.82,24592.12,24302.82,24483.05,336126213
2018-04-14 01:30:00,24582.82,24646.45,24243.74,24360.14,331885760
2018-04-17 01:30:00,24483.15,24675.36,24480.2,24573.04,305067042
2018-04-18 01:30:00,24681.79,24858.97,24681.79,24786.63,342409606
2018-04-19 01:30:00,24820.85,24832.54,24721.09,24748.07,302026350
2018-04-20 01:30:00,24711.3,24762.48,24557.03,24664.89,381114870
2018-04-21 01:30:00,24657.39,24678.07,24375.04,24462.94,537769284
2018-04-24 01:30:00,24488.07,24536.89,24328.54,24448.69,351034918
2018-04-25 01:30:00,24579.94,24579.94,23828.73,24024.13,468175686
2018-04-26 01:30:00,24070.2,24146.34,23823.08,24083.83,437103293
